"id","pos_id","position_name","subposition","status","code","order_id","type_code","gcode","level_edu","duration_typ","csbanew"
"152","9022014010582","PATIYA","CHITTAGONG",,"Thana","152",,,,,
"153","9022014011165","PATENGA  THANA","CHITTAGONG",,"Thana","153",,,,,
"154","9022014003720","RANGUNIA","CHITTAGONG",,"Thana","154",,,,,
"155","9022014007586","RAOZAN","CHITTAGONG",,"Thana","155",,,,,
"156","9022014006908","SANDWIP","CHITTAGONG",,"Thana","156",,,,,
"157","9022014002555","SATKANIA","CHITTAGONG",,"Thana","157",,,,,
"158","9022014010301","SITAKUNDA","CHITTAGONG",,"Thana","158",,,,,
"159","9022014008013","BARURA","COMILLA",,"Thana","159",,,,,
"160","9022014011378","BRAHMANPARA","COMILLA",,"Thana","160",,,,,
"161","9022014009566","BURICHANG","COMILLA",,"Thana","161",,,,,
"162","9022014007260","CHANDINA","COMILLA",,"Thana","162",,,,,
"163","9022014010037","CHAUDDAGRAM","COMILLA",,"Thana","163",,,,,
"164","9022014010595","COMILLA SADAR DAKHIN","COMILLA",,"Thana","164",,,,,
"165","9022014002797","DAUDKANDI","COMILLA",,"Thana","165",,,,,
"166","9022014011593","DEBIDWAR","COMILLA",,"Thana","166",,,,,
"167","9022014010064","HOMNA","COMILLA",,"Thana","167",,,,,
"168","9022014002297","COMILLA ADARSHA SADAR","COMILLA",,"Thana","168",,,,,
"169","9022014002353","LAKSAM","COMILLA",,"Thana","169",,,,,
"170","9022014004647","MANOHARGANJ","COMILLA",,"Thana","170",,,,,
"171","9022014004903","MEGHNA","COMILLA",,"Thana","171",,,,,
"172","9022014008289","MURADNAGAR","COMILLA",,"Thana","172",,,,,
"173","9022014005241","NANGALKOT","COMILLA",,"Thana","173",,,,,
"174","9022014009843","TITAS","COMILLA",,"Thana","174",,,,,
"175","9022014002549","CHAKARIA","COXS BAZAR",,"Thana","175",,,,,
"176","9022014009199","COX'SBAZAR SADAR","COXS BAZAR",,"Thana","176",,,,,
"177","9022014005253","KUTUBDIA","COXS BAZAR",,"Thana","177",,,,,
"178","9022014006762","MAHESHKHALI","COXS BAZAR",,"Thana","178",,,,,
"179","9022014003571","PEKUA","COXS BAZAR",,"Thana","179",,,,,
"180","9022014011951","RAMU","COXS BAZAR",,"Thana","180",,,,,
"181","9022014011029","TEKNAF","COXS BAZAR",,"Thana","181",,,,,
"182","9022014012131","UKHIA","COXS BAZAR",,"Thana","182",,,,,
"183","9022014008389","CHHAGALNAIYA","FENI",,"Thana","183",,,,,
"184","9022014003600","DAGANBHUIYAN","FENI",,"Thana","184",,,,,
"185","9022014004754","FENI SADAR","FENI",,"Thana","185",,,,,
"186","9022014005490","FULGAZI","FENI",,"Thana","186",,,,,
"187","9022014006693","PARSHURAM","FENI",,"Thana","187",,,,,
"188","9022014005999","SONAGAZI","FENI",,"Thana","188",,,,,
"189","9022014005213","DIGHINALA","KHAGRACHHARI",,"Thana","189",,,,,
"190","9022014012337","KHAGRACHHARI SADAR","KHAGRACHHARI",,"Thana","190",,,,,
"191","9022014007404","LAKSHMICHHARI","KHAGRACHHARI",,"Thana","191",,,,,
"192","9022014011654","MAHALCHHARI","KHAGRACHHARI",,"Thana","192",,,,,
"193","9022014011095","MANIKCHHARI","KHAGRACHHARI",,"Thana","193",,,,,
"194","9022014007022","MATIRANGA","KHAGRACHHARI",,"Thana","194",,,,,
"195","9022014006126","PANCHHARI","KHAGRACHHARI",,"Thana","195",,,,,
"196","9022014006086","RAMGARH","KHAGRACHHARI",,"Thana","196",,,,,
"197","9022014007923","KAMALNAGAR","LAKSHMIPUR",,"Thana","197",,,,,
"198","9022014009217","LAKSHMIPUR SADAR","LAKSHMIPUR",,"Thana","198",,,,,
"199","9022014007670","ROYPUR","LAKSHMIPUR",,"Thana","199",,,,,
"200","9022014007036","RAMGANJ","LAKSHMIPUR",,"Thana","200",,,,,
"201","9022014011714","RAMGATI","LAKSHMIPUR",,"Thana","201",,,,,
"202","9022014004890","BEGUMGANJ","NOAKHALI",,"Thana","202",,,,,
"203","9022014004783","CHATKHIL","NOAKHALI",,"Thana","203",,,,,
"204","9022014004763","COMPANIGANJ","NOAKHALI",,"Thana","204",,,,,
"205","9022014005348","HATIYA","NOAKHALI",,"Thana","205",,,,,
"206","9022014005084","KABIRHAT","NOAKHALI",,"Thana","206",,,,,
