"institute_name"

"Hamida Nursing Institute, Mirpur, Dhaka"
"Hobigonj Nursing Institute"
"Hollyfamily R.C. Hospital, Dhaka"
"Holy Family Red Crescent Nursing College, Dhaka"
"IBN SINA Nursing Institute, Dhaka"
"Ibrahim Cardiac Hospital and Research Institute, Dhaka"
"Ibrahim Cardiac Hospital, Shahbag, Dhaka"
"ICMH Midwifery Institute, Matuail, Dhaka"
"ICMH, Matuail, Dhaka"
"Ideal  Nursing Institute, Bogra"
"Ideal Nursing Institute, Bogra"
"Impact Nursing Institute, Amjhupi, Meherpur"
"Institute of Community Health-Bangladesh, Dhaka"
"Institute of Health Science, Keraniganj, Dhaka"
"Institute of Nursing Science, Dinajpur"
"Institute of Patuakhali Medical Technology (IPMT), Patuakhali"
"International Nursing College, Tongi, Gazipur"
"Islami Bank Nursing College, Rajshahi"
"Islami Bank Nursing Institute, Rajshahi"
"J.T.S Community Paramedic Institute, Hazaribag, Dhaka"
"Jahurul Islam Nursing College, Bajitpur, Kishorgonj"
"Jahurul Islam Nursing Institute, Bajitpur, Kishorgonj"
"Jamalpur Nursing Institute"
"Jameson Red-Crecent Maternity Hospital,CTG"
"Jameson Red-Crescent Nursing Institute, Chittagong"
"Jamison Redcrecent Maternity Hospital,CTG"
"Japan-Bangladesh Friendship Nursing Institute, Dhaka"
"Jashim Uddin Nursing Institute, Jamalpur"
"Jemison Red-crescent Nursing Institute, Chittagong"
"Jessore Institute of Nursing Science and Midwifery, Jessore"
"Jessore Nursing Institute"
"Jhenaidah Nursing Institute"
"Joypurhat Nursing Institute"
"Kalihati Nursing Institute, Kalihati, Tangail"
"Karatoa Nursing Institute, Kalitola, Bogra"
"Khaja Yunus Ali Nursing College, Enayetpur, Sirajgonj"
"Khulna Nursing Institute"
"Khwaja Yunus Ali Nursing College, Enayetpur, Sirajgonj"
"Kishorgonj Nursing Institute"
"Kumudini Nursing College, Mirzapur, Tangail"
"Kurigram Nursing Institute"
"Kushtia Nursing Institute"
"LAMB Hospital, Parbatipur, Dinajpur"
"Lamb Nursing Institute, Parbatipur, Dinajpur"
"M. Rahman Nursing Institute, Rajshahi"
"Madaripur Nursing Institute"
"Madhupur Nursing Institute, Tangail"
"Magura Nursing Institute"
"Mahi Sawer Nursing Institute, Bogra"
"Mamota Nursing Institute, Rajshahi"
"Manikgonj Nursing College"
"Marks Nursing College, Mirpur, Dhaka"
"Maulvibazar Nursing Institute"
"MCWC Comilla CSBA institute"
"Medical College Hospital, Tangail"
"MediHelp Nursing Institute, Rangpur"
"Memon Maternity Hospital, Chittagong"
"MH Samorita Nursing College, Dhaka"
"MH Samorita Nursing Institute, Dhaka"
"Mirpur Institute of Nursing Science & Midwifery, Dhaka"
"Mitford Nursing Institute"
"Mitu Nursing Institute, Pabna"
"Monno Nursing College, Manikgonj"
"Monno Nursing Institute, Manikgonj"
"Monowara Anowara Nursing Institute, Thakurgaon"
"Monowara Anowara Nursing Institute, Thakurgong"
"Monwara Anowara Nursing Institute, Thakurgong"
"Moulvibazar Nursing Institute"
"MRF Nursing Institute, Joypurhat"
"MRM Hospital and Nursing Institute, Bancharampur, B-Baria"
"Munshiganj Nursing Institute"
"Mymensingh Nursing College, Mymensingh"
"Nagarjuna School of Nursing, Vijayawada"
"Naogaon Nursing Institute"
"Naogaon Prime Nursing Institute, Naogaon"
"National Heart Foundation Hospital and Research Institute, Dhaka"
"National Institute of Advanced Nursing Education and Research, Dhaka"
"National Institute of Medical and Dental Technology, Dhaka"
"Netrokona Nursing Institute"
"New Sonar Bangla Nursing Institute, Rangpur"
"Nilphamari Nursing Institute"
"NIMDT Nursing Institute, Mohammadpur, Dhaka"
"Noakhali Nursing Institute"
"North East Nursing College, Sylhet"
"Northern Institute of Nursing Science, Rangpur"
"Northern International Nursing College, Dhaka"
"Northern Nursing Institute, Rangpur"
"Nursing Institute Christian Mission Hospital, Rajshahi"
"Nursing Institute, M.C. for Women "
"Nursing Institute, M.C. for Women and Hospital, Uttara, Dhaka"
"OGSB Hospital, Mirpur, Dhaka"
"Pabna Community Nursing Institute, Sathia, Pabna"
"Pabna Ideal Nursing Institute, Pabna"
"Pabna Nursing Institute"
"Pallabi Nursing Institute, Mirpur, Dhaka"
"Panchagarh Nursing Institute"
"Patuakhali Nursing Institute"
"Pirojpur Nursing Institute"
"Population Services and Training Centre, Dhaka (PSTC)"
"Prime Bank College of Nursing, Dhaka"
"Prime Bank N/College, Kuril Biswa Road, Dhaka"
"Prime Nursing College, Rangpur"
"Prince Nursing Institute, Savar, Dhaka"
"Professor Sohrab Uddin Nursing Institute, Tangail"
"Prokash Medical Institute, Gazipur"
"Provati Nursing Institute, Laximipur, Rajshahi"
"Rabeya Community Paramedic Institute, Savar, Dhaka"
"Radda Community Paramedic Institute, Dhaka"
"Rajbari Nursing Institute"
"Rajshahi Nursing College, Rajshahi"
"Rangamati Nursing Institute"
"Rangpur Army Nursing College, Rangpur"
"Rangpur Community Nursing College, Rangpur"
"Rangpur Community Nursing Institute, Rangpur"
"Rangpur Community Paramedic Institute, Rangpur"
"Rangpur Nursing College, Rangpur"
