id,pos_id,position_name,subposition,status,code,order_id,type_code,gcode,level_edu,duration_typ,csbanew,rnm,pre,post,icode,scode
994,25042017115934,"CARe Nursing Institute, Dhaka",PRI243,,Institute,965,Private,Institute,40,,,,,,222190,
995,25042017141896,"Gaibandha Community Nursing Institute, Gaibandha",PRI245,,Institute,966,Private,Institute,40,,,,,,222191,
996,25042017139168,"Brahmanbaria United Nursing College, Brahmanbaria",PRI246,,Institute,967,Private,College,40,,,,,,22135,
997,25042017149850,"Surma Nursing Institute, Sylhet",PRI247,,Institute,968,Private,Institute,40,,,,,,222193,
998,25042017163225,"Nagarjuna School of Nursing, Vijayawada",FEC2,,Institute,969,Private,Institute,,,,,,,30002,
999,25042017168905,"College of Nursing, Shere Banglanagar, Dhaka",PUBC11,,Institute,970,Private,College,40,,,,,,11122,
1001,25042017165240,"Shamsun Nahar Khan Nursing College, Chittagong",PRI263,,Institute,972,Private,Institute,50,,,,,,22136,
1000,25042017160565,"Mirpur Institute of Nursing Science & Midwifery, D...",PRI248,,Institute,971,Private,Institute,,,,,,,222172,
1002,25042017172030,"Shirin Rahman Nursing Institute, Jessore",PRI249,,Institute,973,Private,Institute,30,,,,,,222194,
1004,27042017133831,"Crescent Nursing Institute, Kushtia",PRI252,,Institute,975,Private,Institute,50,,,,,,222196,
1005,27042017163166,"Diabetic Association Nursing Institute, Narayangan...",PRI253,,Institute,976,Private,Institute,,,,,,,222197,
1006,27042017168068,"Trauma Nursing Institute, Dhaka",PRI254,,Institute,977,Private,Institute,,,,,,,222198,
1007,27042017186806,"New Sonar Bangla Nursing Institute, Rangpur",PRI255,,Institute,978,Private,Institute,40,,,,,,222199,
1008,27042017193943,"RTMI Nursing Institute, Sylhet",PRI256,,Institute,979,Private,Institute,,,,,,,222200,
1009,28042017104329,"Bangladesh Adventist Nursing Institute, Gazipur",PRI257,,Institute,980,Private,Institute,,,,,,,222201,
1010,28042017111415,"Mamota Nursing Institute, Rajshahi",PRI258,,Institute,981,Private,Institute,,,,,,,222202,
1011,29042017224301,"RTMI Midwifery Institute, Sylhet",PRI259,,Institute,982,Private,Institute,,,,,,,222203,
1029,5032018122450,"Mitu Nursing Institute, Pabna",PRI264,,Institute,995,Private,Institute,30,,,,,,222182,
1034,15042018101200,"Islami Bank Nursing Institute, Barisal",PRI265,,Institute,998,Private,Institute,40,,,,,,222205,
1035,14052018080200,"Unihealth Nursing College, Dhaka",PRI266,,Institute,999,Private,Institute,,,,,,,222206,
1036,17052018076600,"Mirza Nursing College, Rajshahi",PRI267,,Institute,1000,Private,College,,,,,,,22138,
1037,24052018050100,"Elite Nursing Institute, Dhaka",PRI268,,Institute,1001,Private,Institute,,,,,,,22139,
1038,24052018049100,"Amazan Nursing Institute, Faridpur",PRI269,,Institute,1002,Private,Institute,,,,,,,22140,
1039,24052018047700,"Modern Nursing Institute, Narsingdi",PRI270,,Institute,1003,Private,Institute,,,,,,,22141,
1040,24052018048200,"Mohammadpur Model Nursing Institute, Bochila, Dhak...",PRI271,,Institute,1004,Private,Institute,,,,,,,22141,
